Routes,TotalAvgDailyBoardings,TotalBoarding,TotalBoradingWeekday,TotalBoardingSaturday,TotalBoradingSunday,TotalAverageDailyWeekdayBorading ,TotalAverageDailySaturdayBorading ,TotalAverageDailySundayBorading ,AvgMedianLoad,AvgOnTime,AvgLate,TotalSeasonalRevenueMiles,AverageDailyRevenueMilesWeekday,AverageDailyRevenueMilesSaturday,AverageDailyRevenueMilesSunday,TotalTripCount,TotalSeasonalRevenueHours,AverageDailyRevenueHoursWeekday,AverageDailyRevenueHoursSaturday,AverageDailyRevenueHoursSunday,RidershipPerRevHour,WeekdayRidershipPerRevHour,SaturdayRidershipPerRevHour,SundayRidershipPerRevHour
1,"2,979.30","115,395","96,721","12,581","6,093","1,540",979,460,6.4,80.90%,14.10%,"218,654,388.00","2,795,720.00","2,013,143.50","968,388.60","9,584.00","7,678.10",98.2,71.3,33.6,15.02910876,984.9389002,176.4516129,181.3392857
2,"7,380",153.3,7380,0,0,153.3,0,0,1,81.90%,3.50%,"78,180,672.00","1,221,573.00",0,0,"3,823.00","1,900.20",29.7,0,0,0.080675718,248.4848485,0,0
3,"2,323.20","95,666","82,837","8,078","4,751","1,317",649,358,8.7,86.60%,4.70%,"90,670,366.00","1,124,311.40","1,025,143.30","384,826.70","9,801.00","4,841.70",60,55,20.4,19.75876242,1380.616667,146.8727273,232.8921569
10,207.9,"6,002","5,369",633,0,122,86,0,2,86.30%,9.00%,"45,740,661.00","605,411.30","538,025.80",0,"4,159.00","1,410.90",18.6,17.1,0,4.254022255,288.655914,37.01754386,0
20,551,"24,627","22,544","2,083",0,369,182,0,3.6,87.30%,7.40%,"53,288,156.00","709,385.80","606,728.20",0,"4,835.00","1,993.70",26.7,22.1,0,12.35241009,844.3445693,94.25339367,0
25,265.8,"11,771","10,637","1,134",0,171,95.2,0,3.1,89.20%,4.80%,"24,779,562.00","329,292.00","284,990.50",0,"2,186.00","1,068.20",14.2,12.3,0,11.01947201,749.084507,92.19512195,0
26,610.5,"26,333","24,153","2,180",0,409,202,0,4.4,93.40%,3.20%,"431,050,136.00","6,594,071.70","694,580.80",0,"6,790.00","2,577.80",35.4,23.8,0,10.21529987,682.2881356,91.59663866,0
27,65.1,"1,174","1,174",0,0,65,0,0,0.2,80.40%,8.50%,"40,046,400.00","625,725.00",0,0,"3,050.00","1,028.00",16.1,0,0,1.142023346,72.91925466,0,0
40,"1,293.50","45,177","35,699","4,841","4,637",562,380,352,10.1,88.80%,4.40%,"56,763,587.00","642,478.60","681,906.50","484,297.90","4,948.00","2,451.70",27.8,29.3,20.9,18.42680589,1284.136691,165.221843,221.8660287
41,162,"9,626","9,626",0,0,162,0,0,15.7,92.20%,2.70%,"22,199,221.00","346,862.80",0,0,"1,780.00",884,13.8,0,0,10.88914027,697.5362319,0,0
42,769.9,"36,360","33,416","2,944",0,533,237,0,12.8,90.80%,1.60%,"50,041,668.00","672,034.00","540,884.00",0,"4,452.00","2,197.20",29.5,23.7,0,16.54833424,1132.745763,124.2194093,0
47,"1,661.30","62,367","51,366","6,002","4,999",819,473,369,5.5,81.70%,12.60%,"121,126,312.00","1,409,109.10","1,312,288.00","991,684.60","5,124.00","4,892.40",56.7,52.9,41,12.74773117,905.9259259,113.4593573,121.9268293
48,554.5,"24,844","22,674","2,170",0,372,183,0,4.4,89.60%,5.40%,"57,006,847.00","767,857.20","604,921.90",0,"4,424.00","2,338.00",31.5,24.6,0,10.62617622,719.8095238,88.21138211,0
50,288.1,"9,298","8,040","1,258",0,161,128,0,3,85.70%,3.30%,"21,043,471.00","279,930.80","240,607.50",0,"4,208.00","1,036.10",13.8,11.9,0,8.974037255,582.6086957,105.7142857,0
64,796.8,"26,677","21,894","2,616","2,167",374,249,174,3.3,81.60%,14.70%,"52,377,756.00","613,954.00","568,422.20","406,801.00","5,368.00","2,449.90",27.9,29.1,20.3,10.88901588,784.7311828,89.89690722,106.7487685
65,985,"49,033","46,080","2,953",0,743,242,0,5.9,78.10%,18.40%,"57,012,984.00","772,850.60","580,811.40",0,"4,671.00","2,515.10",34.2,25.2,0,19.4954475,1347.368421,117.1825397,0
67,812.5,"37,077","33,752","3,325",0,544,269,0,5.9,76.20%,21.00%,"86,529,256.00","1,160,023.20","945,213.10",0,"4,621.00","2,894.90",38.4,33.4,0,12.80769629,878.9583333,99.5508982,0
68,355.3,"20,905","20,905",0,0,355,0,0,5.6,82.20%,12.40%,"36,090,550.00","563,914.80",0,0,"3,611.00","1,330.20",20.8,0,0,15.71568185,1005.048077,0,0
123,"2,212.10","79,041","62,988","9,627","6,426",988,745,479,7.8,91.30%,4.50%,"137,297,417.00","1,615,368.10","1,530,245.40","1,001,476.40","5,864.00","5,470.20",64.1,60.9,41.2,14.44938028,982.6521061,158.0788177,155.9708738
170,235.9,"8,640","8,205",435,0,198,38,0,2.6,84.80%,8.80%,"94,626,423.00","1,350,803.40","628,846.50",0,"1,815.00","1,769.30",25.3,11.7,0,4.883287176,324.3083004,37.17948718,0
225,"1,546.80","61,006","51,588","5,958","3,460",819,464,264,8.4,80.50%,15.70%,"143,293,502.00","1,744,628.50","1,400,980.90","958,894.90","5,504.00","4,970.00",62.2,45.3,28.7,12.27484909,829.3890675,131.5231788,120.5574913
240,127.9,"4,374","3,905",469,0,74,54,,2.1,88.20%,2.20%,"39,891,614.00","528,652.00","465,991.00",,"2,110.00","1,041.10",13.8,12.1,,,,,
